date,open,high,low,close,volume
202404121155 ,17734,17739,17734,17734,22617
202404121156 ,17739,17744,17734,17739,8992
202404121157 ,17739,17744,17734,17744,241
202404121158 ,17744,17744,17739,17744,1913
202404121159 ,17744,17744,17739,17744,2095
202404121200 ,17744,17744,17739,17744,332
202404121201 ,17744,17744,17739,17744,2057
202404121202 ,17744,17744,17739,17744,524
202404121203 ,17744,17744,17739,17739,1233
202404121204 ,17744,17749,17744,17749,9490
202404121205 ,17744,17749,17744,17744,1529
202404121206 ,17749,17759,17744,17754,6891
202404121207 ,17759,17764,17754,17759,1088
202404121208 ,17759,17759,17754,17754,1803
202404121209 ,17759,17759,17749,17754,704
202404121210 ,17754,17759,17754,17754,1263
202404121211 ,17759,17759,17759,17759,471
202404121212 ,17759,17764,17754,17754,1713
202404121213 ,17764,17764,17754,17759,1126
202404121214 ,17759,17759,17754,17759,279
202404121215 ,17759,17759,17754,17759,636
202404121216 ,17759,17769,17759,17759,3148
202404121217 ,17764,17764,17759,17764,426
202404121218 ,17759,17769,17759,17764,3642
202404121219 ,17769,17769,17764,17769,2611
202404121220 ,17769,17769,17764,17769,893
202404121221 ,17769,17774,17769,17774,2464
202404121222 ,17769,17774,17769,17774,830
202404121223 ,17774,17774,17769,17774,1131
202404121224 ,17774,17779,17774,17779,3512
202404121225 ,17774,17779,17774,17779,995
202404121226 ,17779,17784,17774,17779,4451
202404121227 ,17779,17784,17774,17784,1030
202404121228 ,17784,17784,17774,17784,1877
202404121229 ,17784,17784,17779,17784,2585
202404121230 ,17784,17789,17784,17789,255
202404121231 ,17789,17794,17784,17794,1591
202404121232 ,17794,17794,17789,17794,2118
202404121233 ,17794,17794,17789,17794,2659
202404121234 ,17794,17794,17784,17789,2482
202404121235 ,17789,17794,17789,17789,2563
202404121236 ,17789,17794,17784,17794,1407
202404121237 ,17794,17799,17789,17794,7682
202404121238 ,17799,17799,17794,17794,717
202404121239 ,17799,17799,17794,17794,1899
202404121240 ,17794,17794,17789,17794,826
202404121241 ,17794,17794,17789,17794,1219
202404121242 ,17794,17794,17789,17794,1905
202404121243 ,17794,17794,17789,17794,782
202404121244 ,17794,17799,17794,17799,759
202404121245 ,17799,17799,17789,17794,1992
202404121246 ,17794,17799,17789,17794,1316
202404121247 ,17799,17804,17794,17804,2942
202404121248 ,17804,17804,17799,17804,902
202404121249 ,17804,17804,17799,17804,2621
202404121250 ,17804,17809,17799,17809,20289
202404121251 ,17804,17809,17804,17804,5613
202404121252 ,17804,17809,17799,17804,1323
202404121253 ,17804,17809,17799,17799,2367
202404121254 ,17809,17809,17804,17809,807
202404121255 ,17804,17809,17804,17809,847
202404121256 ,17809,17809,17804,17809,3301
202404121257 ,17809,17814,17804,17814,14509
202404121258 ,17814,17814,17804,17809,7269
202404121259 ,17809,17809,17804,17809,5365
202404121300 ,17809,17809,17799,17799,7902
202404121301 ,17794,17799,17794,17794,1877
202404121302 ,17794,17799,17794,17794,3567
202404121303 ,17794,17794,17789,17794,1308
202404121304 ,17794,17794,17789,17794,621
202404121305 ,17794,17794,17789,17789,660
202404121306 ,17794,17794,17789,17794,2128
202404121307 ,17789,17799,17789,17799,18205
202404121308 ,17799,17799,17794,17799,301
202404121309 ,17799,17799,17789,17794,1801
202404121310 ,17794,17799,17789,17799,2164
202404121311 ,17799,17799,17794,17794,564
202404121312 ,17794,17804,17794,17804,2160
202404121313 ,17804,17804,17799,17799,1542
202404121314 ,17799,17799,17794,17799,2189
202404121315 ,17799,17804,17799,17799,1331
202404121316 ,17804,17804,17799,17804,1628
202404121317 ,17804,17804,17799,17799,7366
202404121318 ,17799,17799,17789,17794,5535
202404121319 ,17794,17794,17789,17794,1752
202404121320 ,17794,17794,17789,17789,2798
202404121321 ,17794,17794,17789,17794,1796
202404121322 ,17794,17794,17789,17794,603
202404121323 ,17794,17794,17789,17789,996
202404121324 ,17794,17794,17789,17794,416
202404121325 ,17794,17794,17789,17794,705
202404121326 ,17794,17794,17789,17794,4223
202404121327 ,17789,17794,17789,17794,572
202404121328 ,17794,17799,17794,17799,10969
202404121329 ,17799,17799,17794,17799,2600
